domain,title_or_summary,verdict,reason,source_file,metadata_json,created_at
urban informatics & public health,The Role of Urban Water Infrastructure Quality in Public Health: A Longitudinal Assessment of Lead Pipe Replacement Programs,discarded,Longitudinal public health outcomes related to lead exposure (e.g.  pediatric blood lead levels) are not publicly available at the necessary geographic resolution due to privacy restrictions.,output/ideas_graveyard.json,{"score": 40  "run_id": "20260315T154806Z-2d8477"},2026-03-15T15:50:17.447163
urban informatics & public health,The Impact of Urban Zoning Policies on Healthy Food Availability: A Longitudinal Study of Land Use Change,discarded,The study measures food availability but fails to incorporate any actual human health outcomes  limiting its impact and fit for public health venues.,output/ideas_graveyard.json,{"score": 55  "run_id": "20260315T154806Z-2d8477"},2026-03-15T15:50:17.447163
urban informatics & public health,Quantifying the Health Impacts of Urban Air Quality Improvements Following Public Transportation Electrification,discarded,Hospital admission rates are not freely available in public datasets; accessing them requires Data Use Agreements (DUAs) and purchasing data from state agencies or HCUP.,output/ideas_graveyard.json,{"score": 35  "run_id": "20260315T154806Z-2d8477"},2026-03-15T15:50:17.447163
urban informatics & public health,The Relationship Between Urban Heat Islands and Mortality in Vulnerable Populations: A Multi-City Study,discarded,Mortality data is only publicly available at the county level (via CDC WONDER)  which is too geographically coarse to analyze the hyper-local effects of Urban Heat Islands.,output/ideas_graveyard.json,{"score": 40  "run_id": "20260315T154806Z-2d8477"},2026-03-15T15:50:17.447163
urban informatics & public health,The Influence of Mixed-Use Development on Physical Activity: A Longitudinal Study of Urban Neighborhoods,discarded,There are no freely accessible public datasets providing longitudinal physical activity survey data at the urban neighborhood level.,output/ideas_graveyard.json,{"score": 30  "run_id": "20260315T154806Z-2d8477"},2026-03-15T15:50:17.447163
urban informatics & public health,Urban Resilience and Public Health: A Quantitative Assessment of Disaster Preparedness and Recovery,discarded,The proposal relies on vaguely defined 'long-term health outcome data' and 'disaster plans'  lacking specific  quantifiable  and publicly available datasets for both exposure and outcome.,output/ideas_graveyard.json,{"score": 25  "run_id": "20260315T154806Z-2d8477"},2026-03-15T15:50:17.447163
urban informatics & public health,The Impact of Urban Lighting Infrastructure on Pedestrian Safety and Physical Activity,discarded,While pedestrian injury data is public  street-level physical activity data is not publicly available  making the secondary outcome unmeasurable.,output/ideas_graveyard.json,{"score": 45  "run_id": "20260315T154806Z-2d8477"},2026-03-15T15:50:17.447163
urban informatics & public health,Assessing the Impact of Urban Green Space on Mental Health: A Longitudinal Study using Social Media Proxies,discarded,Geo-tagged social media data is no longer freely accessible at scale due to API restrictions (e.g.  X/Twitter)  and sentiment analysis is an unvalidated proxy for clinical mental health.,output/ideas_graveyard.json,{"score": 35  "run_id": "20260315T154806Z-2d8477"},2026-03-15T15:50:17.447163
urban informatics & public health,The Relationship Between Urban Housing Density and Chronic Disease: A Multi-City Comparative Analysis,discarded,Comparing census density with coarse BRFSS data relies on cross-sectional ecological correlations  suffering from severe confounding and ecological fallacy.,output/ideas_graveyard.json,{"score": 30  "run_id": "20260315T154806Z-2d8477"},2026-03-15T15:50:17.447163
urban informatics & public health,The Role of Urban Connectivity in Healthcare Access for Low-Income Populations,discarded,This is a purely spatial accessibility analysis that does not measure actual healthcare utilization or health outcomes  lacking the necessary clinical impact.,output/ideas_graveyard.json,{"score": 40  "run_id": "20260315T154806Z-2d8477"},2026-03-15T15:50:17.447163
urban informatics & public health,The Impact of Urban Public Spaces on Social Cohesion and Health: A Quantitative Analysis,discarded,Standardized municipal park usage data is rarely publicly available  and community health surveys lack the fine spatial resolution needed to link individuals to specific public spaces.,output/ideas_graveyard.json,{"score": 30  "run_id": "20260315T154806Z-2d8477"},2026-03-15T15:50:17.447163
urban informatics & public health,Urban Infrastructure and Health: A Study of Sidewalk Quality and Pedestrian Health,discarded,The outcome relies on traffic crash datasets  making this a transportation safety study rather than a public health study measuring physiological or chronic health outcomes.,output/ideas_graveyard.json,{"score": 60  "run_id": "20260315T154806Z-2d8477"},2026-03-15T15:50:17.447163
urban informatics & public health,The Relationship Between Urban Transit Accessibility and Obesity Rates: A Longitudinal Analysis,discarded,Longitudinal obesity data at the neighborhood or individual level is not publicly available; existing public data is either cross-sectional or geographically coarse.,output/ideas_graveyard.json,{"score": 30  "run_id": "20260315T154806Z-2d8477"},2026-03-15T15:50:17.447163
urban informatics & public health,The Impact of Urban Green Infrastructure on Air Quality and Respiratory Health,discarded,Local asthma health registries contain Protected Health Information (PHI) and are not publicly accessible without strict Data Use Agreements and IRB approval.,output/ideas_graveyard.json,{"score": 35  "run_id": "20260315T154806Z-2d8477"},2026-03-15T15:50:17.447163
Test Domain GeoAI,Causal Discovery in Spatiotemporal Climate Models: Identifying Tipping Points via Transformer-Based Architectures,selected,,output/topic_screening.json,{"score": 97  "gap_type": "Methodological and Problem Gap"  "run_id": "20260315T173522Z-66acf8"},2026-03-15T17:37:42.373088
Test Domain GeoAI,Global Mapping of Informal Waste Dumping Sites using Satellite Imagery and Weakly-Supervised Learning,selected,,output/topic_screening.json,{"score": 95  "gap_type": "Measurement and Method Gap"  "run_id": "20260315T173522Z-66acf8"},2026-03-15T17:37:42.373088
Test Domain GeoAI,Detecting Illegal Small-Scale Mining Operations via Deep Change Detection and Temporal Contextualization,selected,,output/topic_screening.json,{"score": 93  "gap_type": "Method and Scale Gap"  "run_id": "20260315T173522Z-66acf8"},2026-03-15T17:37:42.373088
Test Domain GeoAI,Graph Neural Networks for Detecting Sub-Surface Geological Anomalies in Multi-Spectral Satellite Data,discarded,Quantitative operability - Multi-spectral satellite imagery cannot directly penetrate the Earth's surface to detect sub-surface geological anomalies; the physical premise of the method is flawed.,output/ideas_graveyard.json,{"score": 10  "run_id": "20260315T173522Z-66acf8"},2026-03-15T17:37:42.374093
Test Domain GeoAI,Uncertainty Quantification in Deep Learning-Based Landslide Susceptibility Mapping,discarded,Novelty - Landslide susceptibility mapping using deep learning is a highly saturated field; adding Bayesian uncertainty quantification is an incremental methodological update rather than a novel application.,output/ideas_graveyard.json,{"score": 30  "run_id": "20260315T173522Z-66acf8"},2026-03-15T17:37:42.374093
Test Domain GeoAI,Self-Supervised Learning for Small-Sample Rare Earth Mineral Identification in Satellite Imagery,discarded,Data availability - Identifying rare earth minerals typically requires hyperspectral data; standard freely available multispectral imagery lacks the spectral resolution for this task.,output/ideas_graveyard.json,{"score": 20  "run_id": "20260315T173522Z-66acf8"},2026-03-15T17:37:42.374093
Test Domain GeoAI,Spatiotemporal Dynamics of Nocturnal Light Pollution: A Global Analysis using VIIRS and Deep Learning,discarded,Novelty - Global analysis of nighttime lights using VIIRS data is a well-explored and mature area in remote sensing and GeoAI.,output/ideas_graveyard.json,{"score": 40  "run_id": "20260315T173522Z-66acf8"},2026-03-15T17:37:42.374093
Test Domain GeoAI,Federated Learning for Privacy-Preserving GeoAI in Distributed Meteorological Sensor Networks,discarded,Novelty - Meteorological sensor data is generally not privacy-sensitive  making the application of privacy-preserving federated learning to this specific domain poorly justified.,output/ideas_graveyard.json,{"score": 25  "run_id": "20260315T173522Z-66acf8"},2026-03-15T17:37:42.374093
Test Domain GeoAI,Explainable AI (XAI) for Distinguishing Anthropogenic vs. Natural Forest Degradation,discarded,Novelty - Applying standard XAI techniques like SHAP to remote sensing classification tasks is an incremental methodological step and widely explored.,output/ideas_graveyard.json,{"score": 35  "run_id": "20260315T173522Z-66acf8"},2026-03-15T17:37:42.374093
Test Domain GeoAI,Multi-Agent Reinforcement Learning for Dynamic Disaster Relief Resource Allocation,discarded,Novelty - Disaster relief resource allocation and routing using reinforcement learning or multi-agent systems is a highly saturated area in operations research and AI.,output/ideas_graveyard.json,{"score": 30  "run_id": "20260315T173522Z-66acf8"},2026-03-15T17:37:42.374093
Test Domain GeoAI,Synthesizing High-Resolution Digital Elevation Models (DEM) from Low-Resolution SAR Data using Generative Adversarial Networks,discarded,Novelty - DEM super-resolution using GANs or other deep learning architectures is a well-established and saturated research topic in GeoAI.,output/ideas_graveyard.json,{"score": 25  "run_id": "20260315T173522Z-66acf8"},2026-03-15T17:37:42.374093
Test Domain GeoAI,Geospatial Data Mining of Public Social Media Feeds for Real-Time Flood Impact Assessment,discarded,Novelty - Using social media data for real-time disaster and flood impact assessment is a highly saturated and dated research area.,output/ideas_graveyard.json,{"score": 20  "run_id": "20260315T173522Z-66acf8"},2026-03-15T17:37:42.375072
Test Domain GeoAI,Attention-Based Models for Identifying Invasive Plant Species via Hyperspectral Reflectance Signatures,discarded,Data availability - Large-scale  freely available hyperspectral datasets with high-quality ground truth labels for specific invasive plant species are extremely scarce.,output/ideas_graveyard.json,{"score": 15  "run_id": "20260315T173522Z-66acf8"},2026-03-15T17:37:42.375072
Test Domain GeoAI,Quantifying Urban Micro-Climate Variability via Low-Cost Sensor Fusion and Gaussian Processes,discarded,Novelty - Fusing sensor data with satellite thermal imagery using Gaussian Processes (essentially Kriging) is a traditional and highly saturated approach in urban climatology.,output/ideas_graveyard.json,{"score": 30  "run_id": "20260315T173522Z-66acf8"},2026-03-15T17:37:42.375072
Test Domain GeoAI,Transfer Learning for Automated Mapping of Informal Settlements in Data-Scarce Global South Regions,discarded,Novelty - Automated mapping of informal settlements using transfer learning and satellite imagery is a well-explored and saturated domain in GeoAI.,output/ideas_graveyard.json,{"score": 35  "run_id": "20260315T173522Z-66acf8"},2026-03-15T17:37:42.375072
Test Domain GeoAI,Semantic Segmentation of Coastal Erosion Dynamics using Multi-Decadal Satellite Archives,discarded,Novelty - Extracting shorelines and quantifying coastal erosion from multi-decadal Landsat imagery is a highly saturated and solved problem (e.g.  CoastSat).,output/ideas_graveyard.json,{"score": 25  "run_id": "20260315T173522Z-66acf8"},2026-03-15T17:37:42.375072
Test Domain GeoAI,Graph-based Analysis of Global Supply Chain Vulnerability to Extreme Weather Events,discarded,Data availability - Detailed  global-scale supply chain routing and infrastructure dependency networks are highly proprietary and not freely available for public research.,output/ideas_graveyard.json,{"score": 15  "run_id": "20260315T173522Z-66acf8"},2026-03-15T17:37:42.375072
Test Domain GeoAI,Predictive Modeling of Wildfire Ignition Risk via Multimodal Data Fusion of Satellite and Weather Time-Series,discarded,Novelty - Predictive modeling of wildfire risk using multimodal satellite and weather data with deep learning is a highly saturated research area.,output/ideas_graveyard.json,{"score": 20  "run_id": "20260315T173522Z-66acf8"},2026-03-15T17:37:42.375072
Test Domain GeoAI,Leveraging Synthetic Aperture Radar (SAR) for Cloud-Penetrating Detection of Agricultural Encroachment in Tropical Forests,discarded,Novelty - Using SAR for cloud-free forest monitoring and deforestation detection is a standard  widely implemented operational practice  lacking academic novelty.,output/ideas_graveyard.json,{"score": 25  "run_id": "20260315T173522Z-66acf8"},2026-03-15T17:37:42.377400
Test Domain GeoAI,Anomaly Detection in Maritime Traffic via AIS Data and Deep Spatiotemporal Embeddings,discarded,Novelty - Anomaly detection in maritime vessel trajectories using AIS data and deep learning is a highly saturated and mature research topic.,output/ideas_graveyard.json,{"score": 20  "run_id": "20260315T173522Z-66acf8"},2026-03-15T17:37:42.377400
Test Domain GeoAI,Assessing the Impact of Urban Green Space Distribution on Respiratory Health Using GeoAI,discarded,Novelty - Correlating satellite-derived urban green space metrics with public health outcomes using spatial regression is a well-established and saturated methodology.,output/ideas_graveyard.json,{"score": 25  "run_id": "20260315T173522Z-66acf8"},2026-03-15T17:37:42.378405
Test Domain GeoAI,Automated Mapping of Solar Potential in Dense Urban Environments using 3D City Models,discarded,Novelty - Calculating rooftop solar potential using 3D city models and sun-path algorithms is a standard  mature GIS application with little algorithmic novelty.,output/ideas_graveyard.json,{"score": 20  "run_id": "20260315T173522Z-66acf8"},2026-03-15T17:37:42.378405
Test Domain GeoAI,Evaluating the Efficacy of Nature-Based Solutions for Stormwater Management via Digital Twin Simulation,discarded,Data availability - High-fidelity urban drainage network data and localized hydraulic parameters required for accurate digital twin simulations are rarely open-access or standardized.,output/ideas_graveyard.json,{"score": 15  "run_id": "20260315T173522Z-66acf8"},2026-03-15T17:37:42.378405
Test Domain GeoAI,Quantifying the Spatiotemporal Impact of Infrastructure Development on Local Biodiversity,discarded,Novelty - Using satellite-derived habitat fragmentation metrics to assess infrastructure impacts is a standard and widely practiced method in landscape ecology.,output/ideas_graveyard.json,{"score": 25  "run_id": "20260315T173522Z-66acf8"},2026-03-15T17:37:42.379021
GeoAI and Urban Planning,Test Topic,selected,,output/topic_screening.json,{"score": 90  "gap_type": "Problem Gap"  "run_id": "20260315T173908Z-ee2342"},2026-03-15T17:39:08.198782
Inferring Causal Relationships Between Public Health and the Built Environment  Large-Scale Urban Models and Generative Urban Science  Cross-Scale Urban System Modeling and Spatial Network Analysis,Generative Modeling of Neighborhood Walkability and Its Impact on Type 2 Diabetes Prevalence,selected,,output/topic_screening.json,{"score": 95  "gap_type": "Method and Scale Gap"  "run_id": "20260315T173742Z-cc5a94"},2026-03-15T17:40:09.223894
Inferring Causal Relationships Between Public Health and the Built Environment  Large-Scale Urban Models and Generative Urban Science  Cross-Scale Urban System Modeling and Spatial Network Analysis,Synthetic Urban Population Generation: A Cross-Scale Framework for Evaluating Environmental Health Interventions,selected,,output/topic_screening.json,{"score": 93  "gap_type": "Method and Scale Gap (Bridging aggregate demographic data and individual-level health behaviors for high-resolution causal simulation)"  "run_id": "20260315T173742Z-cc5a94"},2026-03-15T17:40:09.223894
Inferring Causal Relationships Between Public Health and the Built Environment  Large-Scale Urban Models and Generative Urban Science  Cross-Scale Urban System Modeling and Spatial Network Analysis,Network Topology of Food Deserts and Its Causal Link to Metabolic Health Outcomes,selected,,output/topic_screening.json,{"score": 91  "gap_type": "Measurement and Method Gap"  "run_id": "20260315T173742Z-cc5a94"},2026-03-15T17:40:09.223894
Inferring Causal Relationships Between Public Health and the Built Environment  Large-Scale Urban Models and Generative Urban Science  Cross-Scale Urban System Modeling and Spatial Network Analysis,Causal Inference of Urban Green Space Connectivity on Mental Health: A Multiscale Spatial Network Approach,discarded,UK Biobank is not a freely accessible public dataset (requires application and significant fees)  failing the data availability gate.,output/ideas_graveyard.json,{"score": 45  "run_id": "20260315T173742Z-cc5a94"},2026-03-15T17:40:09.223894
Inferring Causal Relationships Between Public Health and the Built Environment  Large-Scale Urban Models and Generative Urban Science  Cross-Scale Urban System Modeling and Spatial Network Analysis,Dynamic Spatial Modeling of Public Transit Accessibility and Cardiovascular Health Disparities,discarded,Electronic health records (EHR) are highly restricted and not freely accessible public datasets  failing the data availability gate.,output/ideas_graveyard.json,{"score": 40  "run_id": "20260315T173742Z-cc5a94"},2026-03-15T17:40:09.223894
Inferring Causal Relationships Between Public Health and the Built Environment  Large-Scale Urban Models and Generative Urban Science  Cross-Scale Urban System Modeling and Spatial Network Analysis,The Causal Impact of Heat Island Mitigation on Pediatric Asthma Hospitalizations,discarded,Municipal hospital admission records containing pediatric asthma data are restricted by privacy laws and not freely accessible  failing the data availability gate.,output/ideas_graveyard.json,{"score": 35  "run_id": "20260315T173742Z-cc5a94"},2026-03-15T17:40:09.224589
Inferring Causal Relationships Between Public Health and the Built Environment  Large-Scale Urban Models and Generative Urban Science  Cross-Scale Urban System Modeling and Spatial Network Analysis,Quantifying the Causal Effect of Street Connectivity on Physical Activity Using Instrumental Variable Regression,discarded,Population-level wearable data is typically proprietary or restricted  failing the freely accessible data availability gate.,output/ideas_graveyard.json,{"score": 42  "run_id": "20260315T173742Z-cc5a94"},2026-03-15T17:40:09.224589
Inferring Causal Relationships Between Public Health and the Built Environment  Large-Scale Urban Models and Generative Urban Science  Cross-Scale Urban System Modeling and Spatial Network Analysis,Cross-Scale Analysis of Air Quality and Cognitive Decline: Integrating Satellite Data and Biobank Phenotypes,discarded,Biobank phenotype data requires a paid application and data transfer agreement  failing the freely accessible data availability gate.,output/ideas_graveyard.json,{"score": 48  "run_id": "20260315T173742Z-cc5a94"},2026-03-15T17:40:09.225230
Inferring Causal Relationships Between Public Health and the Built Environment  Large-Scale Urban Models and Generative Urban Science  Cross-Scale Urban System Modeling and Spatial Network Analysis,Modeling the Causal Link Between Mixed-Use Zoning and Social Capital: A Multi-City Network Study,discarded,Multi-city social network survey data is generally not freely available or standardized across municipalities  failing the data availability gate.,output/ideas_graveyard.json,{"score": 38  "run_id": "20260315T173742Z-cc5a94"},2026-03-15T17:40:09.225230
Inferring Causal Relationships Between Public Health and the Built Environment  Large-Scale Urban Models and Generative Urban Science  Cross-Scale Urban System Modeling and Spatial Network Analysis,The Impact of Urban Density on Infectious Disease Transmission: A Multiscale Network Modeling Approach,discarded,The topic of urban density and infectious disease transmission via mobility networks was heavily saturated during the COVID-19 pandemic  failing the novelty gate.,output/ideas_graveyard.json,{"score": 50  "run_id": "20260315T173742Z-cc5a94"},2026-03-15T17:40:09.225749
Inferring Causal Relationships Between Public Health and the Built Environment  Large-Scale Urban Models and Generative Urban Science  Cross-Scale Urban System Modeling and Spatial Network Analysis,Causal Inference of Neighborhood Safety Features on Adolescent Behavioral Health,discarded,Longitudinal survey data with fine-grained spatial identifiers for adolescents is highly restricted  failing the data availability gate.,output/ideas_graveyard.json,{"score": 30  "run_id": "20260315T173742Z-cc5a94"},2026-03-15T17:40:09.225749
Inferring Causal Relationships Between Public Health and the Built Environment  Large-Scale Urban Models and Generative Urban Science  Cross-Scale Urban System Modeling and Spatial Network Analysis,Spatial Network Analysis of Healthcare Deserts: Identifying Causal Barriers to Primary Care,discarded,Spatial analysis of healthcare deserts is a well-established and saturated area of research  lacking sufficient methodological or conceptual novelty.,output/ideas_graveyard.json,{"score": 55  "run_id": "20260315T173742Z-cc5a94"},2026-03-15T17:40:09.225749
Inferring Causal Relationships Between Public Health and the Built Environment  Large-Scale Urban Models and Generative Urban Science  Cross-Scale Urban System Modeling and Spatial Network Analysis,Generative Modeling of Pedestrian Flow and Its Correlation with Public Health Indices,discarded,The study proposes correlation rather than causal inference  failing the quantitative operability and domain alignment gates.,output/ideas_graveyard.json,{"score": 45  "run_id": "20260315T173742Z-cc5a94"},2026-03-15T17:40:09.225749
Inferring Causal Relationships Between Public Health and the Built Environment  Large-Scale Urban Models and Generative Urban Science  Cross-Scale Urban System Modeling and Spatial Network Analysis,The Causal Influence of Building Material Diversity on Indoor Air Quality and Respiratory Health,discarded,Large-scale indoor air quality sensor data linked to architectural material databases is not freely available  failing the data availability gate.,output/ideas_graveyard.json,{"score": 35  "run_id": "20260315T173742Z-cc5a94"},2026-03-15T17:40:09.225749
Inferring Causal Relationships Between Public Health and the Built Environment  Large-Scale Urban Models and Generative Urban Science  Cross-Scale Urban System Modeling and Spatial Network Analysis,Cross-Scale Dynamics of Urban Water Infrastructure and Gastrointestinal Health,discarded,Fine-grained spatial public health surveillance data for gastrointestinal outbreaks is typically restricted by health departments  failing the data availability gate.,output/ideas_graveyard.json,{"score": 40  "run_id": "20260315T173742Z-cc5a94"},2026-03-15T17:40:09.225749
Inferring Causal Relationships Between Public Health and the Built Environment  Large-Scale Urban Models and Generative Urban Science  Cross-Scale Urban System Modeling and Spatial Network Analysis,A Causal Analysis of Public Park Proximity on Depression and Anxiety in Urban Youth,discarded,Large-scale geocoded adolescent mental health datasets are highly restricted due to privacy laws  failing the data availability gate.,output/ideas_graveyard.json,{"score": 32  "run_id": "20260315T173742Z-cc5a94"},2026-03-15T17:40:09.225749
Inferring Causal Relationships Between Public Health and the Built Environment  Large-Scale Urban Models and Generative Urban Science  Cross-Scale Urban System Modeling and Spatial Network Analysis,Causal Impact of Light Pollution on Circadian Health: A Satellite-Derived Spatial Study,discarded,Longitudinal sleep health records are typically restricted or require paid access (like Biobanks)  failing the data availability gate.,output/ideas_graveyard.json,{"score": 44  "run_id": "20260315T173742Z-cc5a94"},2026-03-15T17:40:09.225749
Inferring Causal Relationships Between Public Health and the Built Environment  Large-Scale Urban Models and Generative Urban Science  Cross-Scale Urban System Modeling and Spatial Network Analysis,The Causal Relationship Between Urban Connectivity and Obesity: A Comparative Cross-City Analysis,discarded,The relationship between street network connectivity and obesity is a heavily researched and saturated topic  failing the novelty gate.,output/ideas_graveyard.json,{"score": 52  "run_id": "20260315T173742Z-cc5a94"},2026-03-15T17:40:09.225749
Inferring Causal Relationships Between Public Health and the Built Environment  Large-Scale Urban Models and Generative Urban Science  Cross-Scale Urban System Modeling and Spatial Network Analysis,Cross-Scale Urban Network Analysis: Linking Macro-Planning to Individual Health Outcomes,discarded,Individual-level health outcomes linked to spatial data are highly restricted by privacy regulations  failing the data availability gate.,output/ideas_graveyard.json,{"score": 30  "run_id": "20260315T173742Z-cc5a94"},2026-03-15T17:40:09.225749
GeoAI and Urban Planning,Assessing the Impact of Zoning Policy Changes on Urban Compactness via Causal Inference and Satellite Time-Series,selected,,output/topic_screening.json,{"score": 96  "gap_type": "Method and Measurement Gap"  "run_id": "20260315T173915Z-7f6f85"},2026-03-15T17:41:33.404672
GeoAI and Urban Planning,Quantifying the Synergistic Effects of Urban Vegetation and Albedo Modification on Local Cooling: A GeoAI Simulation,selected,,output/topic_screening.json,{"score": 94  "gap_type": "Method Gap"  "run_id": "20260315T173915Z-7f6f85"},2026-03-15T17:41:33.404672
GeoAI and Urban Planning,Leveraging Multimodal Satellite Fusion and Graph Neural Networks for Predicting Gentrification Dynamics,selected,,output/topic_screening.json,{"score": 92  "gap_type": "Method and Scale Gap"  "run_id": "20260315T173915Z-7f6f85"},2026-03-15T17:41:33.404672
GeoAI and Urban Planning,GeoAI-based Assessment of '15-Minute City' Accessibility Equity using Dynamic Human Mobility Data,discarded,Fails data availability gate: Dynamic human mobility data (e.g.  mobile phone location data) is typically proprietary and not freely accessible as public datasets.,output/ideas_graveyard.json,{"score": 45  "run_id": "20260315T173915Z-7f6f85"},2026-03-15T17:41:33.404672
GeoAI and Urban Planning,Predicting Urban Flood Vulnerability in Informal Settlements: A Deep Learning Approach with High-Resolution LiDAR,discarded,Fails data availability gate: High-resolution LiDAR data is rarely freely available for informal settlements  which are predominantly located in developing regions.,output/ideas_graveyard.json,{"score": 40  "run_id": "20260315T173915Z-7f6f85"},2026-03-15T17:41:33.406082
GeoAI and Urban Planning,Modeling the Spatiotemporal Impact of Urban Green Space on Mental Well-being using Geo-tagged Social Media Data,discarded,Fails data availability gate: Geo-tagged social media data (e.g.  Twitter) is no longer freely accessible for large-scale academic scraping.,output/ideas_graveyard.json,{"score": 35  "run_id": "20260315T173915Z-7f6f85"},2026-03-15T17:41:33.406082
GeoAI and Urban Planning,Predicting Public Transit Demand Shifts during Extreme Weather Events using Federated Learning,discarded,Fails novelty/methodology gate: Federated learning is designed for privacy-preserving distributed training  which is unnecessary for aggregate public transit demand data that does not contain PII.,output/ideas_graveyard.json,{"score": 50  "run_id": "20260315T173915Z-7f6f85"},2026-03-15T17:41:33.406082
GeoAI and Urban Planning,Mapping Urban 'Food Deserts' through Computer Vision Analysis of Street-Level Imagery,discarded,Fails data availability gate: Large-scale street-level imagery (like Google Street View) requires paid APIs and has strict terms against mass scraping for derived data.,output/ideas_graveyard.json,{"score": 45  "run_id": "20260315T173915Z-7f6f85"},2026-03-15T17:41:33.406082
GeoAI and Urban Planning,Spatiotemporal Modeling of Urban Noise Pollution using Machine Learning and Crowdsourced Acoustic Data,discarded,Fails data availability gate: Crowdsourced acoustic data is not widely or reliably available as a free public dataset across diverse urban areas.,output/ideas_graveyard.json,{"score": 40  "run_id": "20260315T173915Z-7f6f85"},2026-03-15T17:41:33.407163
GeoAI and Urban Planning,GeoAI for Optimizing Electric Vehicle Charging Infrastructure Placement using Traffic Flow and Grid Capacity Data,discarded,Fails data availability gate: Electrical grid capacity data is highly proprietary and restricted due to critical infrastructure security concerns.,output/ideas_graveyard.json,{"score": 35  "run_id": "20260315T173915Z-7f6f85"},2026-03-15T17:41:33.407163
GeoAI and Urban Planning,Analyzing the Resilience of Urban Logistics Networks during Supply Chain Disruptions: A Spatiotemporal GeoAI Approach,discarded,Fails data availability gate: Urban freight and logistics movement data is highly proprietary and not freely available to the public.,output/ideas_graveyard.json,{"score": 30  "run_id": "20260315T173915Z-7f6f85"},2026-03-15T17:41:33.407163
GeoAI and Urban Planning,Evaluating the Impact of Street-Level Lighting on Nighttime Pedestrian Safety using Computer Vision,discarded,Fails data availability gate: Large-scale nighttime street-level imagery is extremely scarce in public datasets  as most platforms capture data during the day.,output/ideas_graveyard.json,{"score": 40  "run_id": "20260315T173915Z-7f6f85"},2026-03-15T17:41:33.407163
GeoAI and Urban Planning,A GeoAI Framework for Estimating Rooftop Solar Potential in Dense Urban Environments,discarded,Fails novelty gate: Estimating rooftop solar potential using deep learning and 3D building models is a highly crowded and mature research area.,output/ideas_graveyard.json,{"score": 35  "run_id": "20260315T173915Z-7f6f85"},2026-03-15T17:41:33.407163
GeoAI and Urban Planning,Mapping Urban Vacancy and Brownfield Redevelopment Potential using Deep Learning on Satellite Imagery,discarded,Fails data availability gate: Detecting individual vacant lots or brownfields typically requires sub-meter high-resolution imagery  which is not freely available globally.,output/ideas_graveyard.json,{"score": 45  "run_id": "20260315T173915Z-7f6f85"},2026-03-15T17:41:33.407163
GeoAI and Urban Planning,Modeling Human Mobility Response to Urban Infrastructure Upgrades: A Causal GeoAI Analysis,discarded,Fails data availability gate: Mobile-location data required for tracking human mobility responses is proprietary and not freely available.,output/ideas_graveyard.json,{"score": 40  "run_id": "20260315T173915Z-7f6f85"},2026-03-15T17:41:33.407957
GeoAI and Urban Planning,Optimizing Waste Collection Routes through Spatiotemporal Demand Prediction and GeoAI,discarded,Fails novelty gate: Optimizing waste collection routes using predictive modeling is a highly crowded and traditional operations research topic.,output/ideas_graveyard.json,{"score": 35  "run_id": "20260315T173915Z-7f6f85"},2026-03-15T17:41:33.407957
GeoAI and Urban Planning,Predicting the Impact of Urban Density on Fire Service Response Times: A Spatial Optimization Study,discarded,Fails novelty gate: Spatial optimization of fire service response times based on density and road networks is a traditional  heavily saturated GIS topic.,output/ideas_graveyard.json,{"score": 30  "run_id": "20260315T173915Z-7f6f85"},2026-03-15T17:41:33.407957
GeoAI and Urban Planning,Assessing the Equity of Public Park Distribution using Network Analysis and GeoAI,discarded,Fails novelty gate: Assessing park accessibility and equity using network analysis is a fundamental and highly saturated topic in urban planning.,output/ideas_graveyard.json,{"score": 25  "run_id": "20260315T173915Z-7f6f85"},2026-03-15T17:41:33.408298
GeoAI and Urban Planning,A GeoAI Approach to Estimating Informal Economy Activity using Street-Level Imagery,discarded,Fails data availability gate: Street-level imagery is often sparse or proprietary in developing regions where informal economies are most prevalent.,output/ideas_graveyard.json,{"score": 45  "run_id": "20260315T173915Z-7f6f85"},2026-03-15T17:41:33.408298
GeoAI and Urban Planning,Predicting Neighborhood-Level Resilience to Economic Shocks using Multi-Source Spatiotemporal Data,discarded,Fails data availability gate: High-resolution business registry and mobility data required for this analysis are typically proprietary and not freely accessible.,output/ideas_graveyard.json,{"score": 40  "run_id": "20260315T173915Z-7f6f85"},2026-03-15T17:41:33.408298
GeoAI and Urban Planning,Bad Data Idea,failed_data_check,All claimed data sources are unverified — not found in known public data registry,/tmp/pytest-of-root/pytest-0/test_data_fail0/topic_screening.json,{"run_id": "test-run-001"  "similar_papers": []  "unverified_sources": ["Nonexistent DB 1"  "Totally Fake Source"]},2026-04-23T16:22:33.279482
GeoAI and Urban Planning,Bad Data Idea,failed_data_check,All claimed data sources are unverified — not found in known public data registry,/tmp/pytest-of-root/pytest-1/test_data_fail0/topic_screening.json,{"run_id": "test-run-001"  "similar_papers": []  "unverified_sources": ["Nonexistent DB 1"  "Totally Fake Source"]},2026-04-23T16:29:25.377618
GeoAI and Urban Planning,Bad Data Idea,failed_data_check,All claimed data sources are unverified — not found in known public data registry,/tmp/pytest-of-root/pytest-2/test_data_fail0/topic_screening.json,{"run_id": "test-run-001"  "similar_papers": []  "unverified_sources": ["Nonexistent DB 1"  "Totally Fake Source"]},2026-04-23T16:32:41.526329
